variants	origine
V. Horta	Victor Horta
Victor Horta	Victor Horta
Horta	Victor Horta
W. Smith	Wilbur Smith
Wilbur Smith	Wilbur Smith
Smith	Wilbur Smith
S. Morse	Samuel Morse
Samuel Morse	Samuel Morse
Morse	Samuel Morse
Virgile	Virgile
D. Sade	Donatien Alphonse François de Sade
Donatien Sade	Donatien Alphonse François de Sade
Sade	Donatien Alphonse François de Sade
C. Ader	Clément Ader
Clément Ader	Clément Ader
Ader	Clément Ader
L. Blériot	Louis Blériot
Louis Blériot	Louis Blériot
Blériot	Louis Blériot
G. Guynemer	Georges Guynemer
Georges Guynemer	Georges Guynemer
Guynemer	Georges Guynemer
J. Mermoz	Jean Mermoz
Jean Mermoz	Jean Mermoz
Mermoz	Jean Mermoz
�. Báthory	Élisabeth Báthory
Élisabeth Báthory	Élisabeth Báthory
Báthory	Élisabeth Báthory
Vitruve	Vitruve
G. Herbert	George Herbert
George Herbert	George Herbert
Herbert	George Herbert
G. Maspero	Gaston Maspero
Gaston Maspero	Gaston Maspero
Maspero	Gaston Maspero
J. Borges	Jorge Luis Borges
Jorge Borges	Jorge Luis Borges
Borges	Jorge Luis Borges
W. Ostwald	Wilhelm Ostwald
Wilhelm Ostwald	Wilhelm Ostwald
Ostwald	Wilhelm Ostwald
R. Salan	Raoul Salan
Raoul Salan	Raoul Salan
Salan	Raoul Salan
M. Boudiaf	Mohamed Boudiaf
Mohamed Boudiaf	Mohamed Boudiaf
Boudiaf	Mohamed Boudiaf
Ouadji	Ouadji
A. Martinet	André Martinet
André Martinet	André Martinet
Martinet	André Martinet
P. Hajdú	Péter Hajdú
Péter Hajdú	Péter Hajdú
Hajdú	Péter Hajdú
G. Thibon	Gustave Thibon
Gustave Thibon	Gustave Thibon
Thibon	Gustave Thibon
J. Vance	Jack Vance
Jack Vance	Jack Vance
Vance	Jack Vance
Giorgione	Giorgione
S. Zweig	Stefan Zweig
Stefan Zweig	Stefan Zweig
Zweig	Stefan Zweig
M. Murville	Maurice Couve de Murville
Maurice Murville	Maurice Couve de Murville
Murville	Maurice Couve de Murville
A. Gillot-Pétré	Alain Gillot-Pétré
Alain Gillot-Pétré	Alain Gillot-Pétré
Gillot-Pétré	Alain Gillot-Pétré
M. Duras	Marguerite Duras
Marguerite Duras	Marguerite Duras
Duras	Marguerite Duras
M. Kundera	Milan Kundera
Milan Kundera	Milan Kundera
Kundera	Milan Kundera
A. Nothomb	Amélie Nothomb
Amélie Nothomb	Amélie Nothomb
Nothomb	Amélie Nothomb
Harry Truman	Harry S. Truman
L. Vilmorin	Louise de Vilmorin
Louise Vilmorin	Louise de Vilmorin
Vilmorin	Louise de Vilmorin
M. Gandhi	Mohandas Karamchand Gandhi
Mohandas Gandhi	Mohandas Karamchand Gandhi
Gandhi	Mohandas Karamchand Gandhi
H. Thoreau	Henry David Thoreau
Henry Thoreau	Henry David Thoreau
Thoreau	Henry David Thoreau
Innocent XII	Innocent XII
F. Hopkins	Frederick Gowland Hopkins
Frederick Hopkins	Frederick Gowland Hopkins
Hopkins	Frederick Gowland Hopkins
R. Escarpit	Robert Escarpit
Robert Escarpit	Robert Escarpit
Escarpit	Robert Escarpit
J. Sempé	Jean-Jacques Sempé
Jean-Jacques Sempé	Jean-Jacques Sempé
Sempé	Jean-Jacques Sempé
G. Gould	Glenn Gould
Glenn Gould	Glenn Gould
Gould	Glenn Gould
J. Saramago	José Saramago
José Saramago	José Saramago
Saramago	José Saramago
A. Antunes	António Lobo Antunes
António Antunes	António Lobo Antunes
Antunes	António Lobo Antunes
E. Queirós	Eça de Queirós
Eça Queirós	Eça de Queirós
Queirós	Eça de Queirós
F. Pessoa	Fernando Pessoa
Fernando Pessoa	Fernando Pessoa
Pessoa	Fernando Pessoa
R. Hossein	Robert Hossein
Robert Hossein	Robert Hossein
Hossein	Robert Hossein
T. Findley	Timothy Findley
Timothy Findley	Timothy Findley
Findley	Timothy Findley
P. Quignard	Pascal Quignard
Pascal Quignard	Pascal Quignard
Quignard	Pascal Quignard
L. Vasto	Lanza del Vasto
Lanza Vasto	Lanza del Vasto
Vasto	Lanza del Vasto
T. Gautier	Théophile Gautier
Théophile Gautier	Théophile Gautier
Gautier	Théophile Gautier
C. Troyes	Chrétien de Troyes
Chrétien Troyes	Chrétien de Troyes
Troyes	Chrétien de Troyes
P. Fermat	Pierre de Fermat
Pierre Fermat	Pierre de Fermat
Fermat	Pierre de Fermat
Marie	Marie
M. King	Martin Luther King
Martin King	Martin Luther King
King	Martin Luther King
J. Muller	Jean-Marie Muller
Jean-Marie Muller	Jean-Marie Muller
Muller	Jean-Marie Muller
�. Boétie	Étienne de La Boétie
Étienne Boétie	Étienne de La Boétie
